step,erank_mlp_mid,erank_resid_mid,dormant_frac_0.025,dormant_frac_0.1,gsm8k_acc,svamp_acc_start,svamp_acc_end,svamp_improvement,entropy_pre_ckpt,svamp_sampled_delta
0,1724.0405,78.1481,0.0000,0.0000,0.4531,0.5467,0.6667,0.1200,0.2780,0.1594
50,1666.6064,114.3399,0.0000,0.0000,0.0469,0.1400,0.3067,0.1667,0.5868,0.1094
150,1708.2828,499.4896,0.0000,0.0000,0.0000,0.0000,0.0067,0.0067,0.2787,0.0094
300,491.9507,361.2979,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
450,495.2621,361.8239,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
