timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 15:51:01.362, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 56, 590.01
2026/08/04 15:51:31.454, NVIDIA GeForce RTX 4070 Laptop GPU, 62, 2817, 8188, 62, 54.30
2026/08/04 15:52:01.512, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 2817, 8188, 67, 54.97
2026/08/04 15:52:31.562, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2817, 8188, 66, 54.65
2026/08/04 15:53:01.608, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 2817, 8188, 68, 55.96
2026/08/04 15:53:31.659, NVIDIA GeForce RTX 4070 Laptop GPU, 87, 2817, 8188, 67, 54.46
2026/08/04 15:54:01.694, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 2817, 8188, 68, 54.78
