timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 18:46:53.997, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7913, 8188, 70, 54.81
2026/08/04 18:47:24.046, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7913, 8188, 70, 54.81
2026/08/04 18:47:54.095, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7913, 8188, 70, 55.00
2026/08/04 18:48:24.133, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7913, 8188, 70, 54.79
2026/08/04 18:48:54.192, NVIDIA GeForce RTX 4070 Laptop GPU, 74, 7913, 8188, 70, 54.48
2026/08/04 18:49:24.238, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7913, 8188, 69, 54.93
2026/08/04 18:49:54.284, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7913, 8188, 67, 54.90
2026/08/04 18:50:24.322, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 66, 42.37
2026/08/04 18:50:54.378, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 66, 42.27
2026/08/04 18:51:24.421, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7913, 8188, 64, 54.84
2026/08/04 18:51:54.467, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7913, 8188, 65, 54.92
2026/08/04 18:52:24.508, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7913, 8188, 65, 54.95
2026/08/04 18:52:54.554, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 63, 35.65
2026/08/04 18:53:24.598, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 65, 44.02
2026/08/04 18:53:54.634, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7913, 8188, 64, 55.00
2026/08/04 18:54:24.676, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7913, 8188, 65, 54.96
2026/08/04 18:54:54.715, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 62, 35.06
2026/08/04 18:55:24.760, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 61, 44.08
2026/08/04 18:55:54.799, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7913, 8188, 63, 54.83
2026/08/04 18:56:24.844, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7913, 8188, 65, 54.99
2026/08/04 18:56:54.890, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 62, 41.21
2026/08/04 18:57:24.935, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7915, 8188, 63, 48.30
2026/08/04 18:57:54.977, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 64, 54.88
2026/08/04 18:58:25.028, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 65, 54.96
2026/08/04 18:58:55.082, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 62, 48.60
2026/08/04 18:59:25.132, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 61, 48.88
2026/08/04 18:59:55.183, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 63, 54.91
2026/08/04 19:00:25.223, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 64, 54.84
2026/08/04 19:00:55.287, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 62, 32.56
2026/08/04 19:01:25.331, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 64, 54.87
2026/08/04 19:01:55.375, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7915, 8188, 65, 55.02
2026/08/04 19:02:25.438, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 66, 55.07
2026/08/04 19:02:55.484, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 62, 40.75
2026/08/04 19:03:25.520, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 62, 55.02
2026/08/04 19:03:55.564, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 64, 54.90
2026/08/04 19:04:25.608, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7915, 8188, 65, 55.16
2026/08/04 19:04:55.660, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 63, 38.25
2026/08/04 19:05:25.707, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7915, 8188, 62, 54.89
2026/08/04 19:05:55.751, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7915, 8188, 64, 54.95
2026/08/04 19:06:25.801, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7915, 8188, 65, 54.88
2026/08/04 19:06:55.852, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 64, 46.75
2026/08/04 19:07:25.902, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 60, 40.63
2026/08/04 19:07:55.951, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7915, 8188, 63, 54.85
2026/08/04 19:08:25.996, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 64, 54.83
2026/08/04 19:08:56.033, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 62, 51.22
2026/08/04 19:09:26.077, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 60, 34.87
2026/08/04 19:09:56.132, NVIDIA GeForce RTX 4070 Laptop GPU, 83, 7915, 8188, 66, 55.46
2026/08/04 19:10:26.171, NVIDIA GeForce RTX 4070 Laptop GPU, 69, 7915, 8188, 69, 54.55
2026/08/04 19:10:56.210, NVIDIA GeForce RTX 4070 Laptop GPU, 48, 7915, 8188, 71, 49.06
2026/08/04 19:11:26.251, NVIDIA GeForce RTX 4070 Laptop GPU, 83, 7915, 8188, 72, 54.58
2026/08/04 19:11:56.289, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7915, 8188, 72, 54.85
2026/08/04 19:12:26.333, NVIDIA GeForce RTX 4070 Laptop GPU, 36, 7915, 8188, 72, 45.02
2026/08/04 19:12:56.375, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 7915, 8188, 73, 54.86
2026/08/04 19:13:26.455, NVIDIA GeForce RTX 4070 Laptop GPU, 30, 7915, 8188, 69, 29.59
2026/08/04 19:13:56.546, NVIDIA GeForce RTX 4070 Laptop GPU, 49, 7915, 8188, 68, 48.20
2026/08/04 19:14:26.641, NVIDIA GeForce RTX 4070 Laptop GPU, 76, 7915, 8188, 71, 54.44
2026/08/04 19:14:56.690, NVIDIA GeForce RTX 4070 Laptop GPU, 85, 7915, 8188, 72, 54.90
