timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 15:47:46.272, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 48, 590.01
2026/08/04 15:48:16.755, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 2113, 8188, 54, 5.93
2026/08/04 15:48:46.810, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 2817, 8188, 65, 55.80
2026/08/04 15:49:16.868, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 2817, 8188, 65, 54.99
2026/08/04 15:49:47.058, NVIDIA GeForce RTX 4070 Laptop GPU, 87, 2817, 8188, 66, 54.92
2026/08/04 15:50:17.139, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 2817, 8188, 66, 54.94
