timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/10 13:31:23.353, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7911, 8188, 58, 46.75, 2490
2026/07/10 13:32:23.396, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7911, 8188, 58, 49.36, 2295
2026/07/10 13:33:23.435, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 7911, 8188, 59, 55.00, 2490
2026/07/10 13:34:23.482, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7911, 8188, 62, 54.53, 2295
2026/07/10 13:35:23.518, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7911, 8188, 61, 54.76, 2085
2026/07/10 13:36:23.555, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7911, 8188, 61, 55.16, 2370
2026/07/10 13:37:23.592, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7911, 8188, 60, 48.86, 2490
2026/07/10 13:38:23.628, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7911, 8188, 61, 54.91, 2400
2026/07/10 13:39:23.671, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7911, 8188, 61, 42.79, 2205
2026/07/10 13:40:23.706, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7911, 8188, 60, 54.79, 2355
2026/07/10 13:41:23.753, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7911, 8188, 59, 54.65, 2310
2026/07/10 13:42:23.791, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7911, 8188, 57, 34.07, 2490
2026/07/10 13:43:23.820, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7911, 8188, 60, 54.91, 2040
2026/07/10 13:44:23.865, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7911, 8188, 59, 27.90, 2175
2026/07/10 13:45:23.900, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7911, 8188, 59, 54.89, 2130
2026/07/10 13:46:23.932, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7911, 8188, 58, 51.38, 2445
2026/07/10 13:47:23.965, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 7911, 8188, 59, 58.23, 2430
2026/07/10 13:48:24.002, NVIDIA GeForce RTX 4070 Laptop GPU, 85, 7911, 8188, 62, 49.01, 2490
2026/07/10 13:49:24.039, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7911, 8188, 63, 54.87, 2235
2026/07/10 13:50:24.080, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 5051, 8188, 62, 60.40, 1755
2026/07/10 13:51:24.122, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 6403, 8188, 62, 55.03, 2025
2026/07/10 13:52:24.164, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7931, 8188, 60, 54.73, 2040
2026/07/10 13:53:24.217, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7925, 8188, 58, 55.12, 2085
2026/07/10 13:54:24.266, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 57, 44.82, 2130
2026/07/10 13:55:24.304, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 60, 54.77, 2085
2026/07/10 13:56:24.366, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 55, 30.48, 2490
2026/07/10 13:57:24.405, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 60, 54.89, 1950
2026/07/10 13:58:24.466, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 56, 30.65, 2490
2026/07/10 13:59:24.502, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 60, 53.71, 2490
2026/07/10 14:00:24.553, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 55, 31.75, 2490
2026/07/10 14:01:24.586, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 58, 31.61, 2490
2026/07/10 14:02:24.629, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7905, 8188, 57, 54.42, 2235
2026/07/10 14:03:24.672, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 57, 31.53, 2490
2026/07/10 14:04:24.717, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7905, 8188, 58, 55.08, 2175
2026/07/10 14:05:24.767, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 58, 31.51, 2190
2026/07/10 14:06:24.818, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7905, 8188, 59, 54.92, 2145
