timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/13 21:54:53.235, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 50, 590.01, 2175
2026/07/13 21:55:53.272, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 2791, 8188, 65, 53.55, 2055
2026/07/13 21:56:53.326, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7935, 8188, 59, 45.13, 2490
2026/07/13 21:57:53.380, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 7931, 8188, 62, 51.98, 2280
2026/07/13 21:58:53.430, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 59, 45.60, 2490
2026/07/13 21:59:53.483, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 7931, 8188, 64, 54.67, 2385
2026/07/13 22:00:53.712, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7931, 8188, 61, 47.13, 2490
